origin,age,colour,sex,import_type,season_stakes,total_stakes,no_of_123_starts,no_of_starts_in_past_races,trainer,owner,current_rating,start_of_season_rating,sire,dam,dam_sire
AUS ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-3,2,D A Hayes,Welcome Racing Syndicate,64,68,Exceed And Excel,Kidman,Quest For Fame
AUS ,5,Chestnut , Gelding,PPG,"$1,087,500 ","$2,823,265 ",2-4-3-19,1,P O'Sullivan,Harilela Racing Syndicate,63,60,Snippetson,Comedy Express,Rory's Jester
AUS ,3,Bay , Gelding,PPG,"$570,000 ","$570,000 ",1-0-0-1,0,C Fownes,Wong Cho Bau,62,52,Deep Field,Keeping Score,Keeper
AUS ,5,Bay , Gelding,PP,"$1,765,000 ","$2,345,000 ",2-2-1-23,2,K H Ting,Tony Ng Fung Sing,62,52,The Factor,Angel's Breath,Tale Of The Cat
NZ ,5,Chestnut , Gelding,PPG,"$1,592,500 ","$3,305,878 ",4-1-2-22,1,C H Yip,Christopher So Chi Hang and Mr & Mrs Alan Chak Kwok Fai,62,55,Towkay,Taatyana,Faltaat
AUS ,5,Bay , Gelding,PP,"$790,000 ","$1,391,940 ",2-1-0-20,1,K L Man,Jason Tam Siu Keung,59,59,Zoustar,Any Wonder,Fasliyev
AUS ,4,Chestnut , Gelding,PPG,"$850,000 ","$850,000 ",1-1-0-6,1,F C Lor,Adrian Lo Hoi Ki,59,52,All Too Hard,More Radiant,More Than Ready
NZ ,4,Bay , Gelding,ISG,"$1,240,000 ","$1,240,000 ",1-2-2-7,2,A S Cruz,Seven Heroes Syndicate,58,52,Savabeel,Eudora,Pins
AUS ,4,Bay , Gelding,PPG,"$1,000,000 ","$1,000,000 ",1-1-1-8,2,A S Cruz,Richard Wong Chung Tak,58,52,Hussonet,Danzeround The Sun,Danzero
NZ ,4,Grey , Gelding,PPG,"$1,300,000 ","$1,851,190 ",2-2-2-14,1,A S Cruz,Kathy Ma So Lan,58,57,Dalghar,Worship,Irish River
AUS ,7,Bay , Gelding,PP,"$142,500 ","$4,588,750 ",4-1-2-32,3,D J Hall,Allen Shi Lop Tak,58,84,Congrats,Zakynthos Star,Dehere
NZ ,5,Bay , Gelding,PPG,"$790,000 ","$2,059,140 ",1-4-3-19,1,D E Ferraris,Andrew Shuen Pak Man,57,59,Pierro,Mapmaker,Volksraad
IRE ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-6,1,D E Ferraris,Florence Chan Yee Chun,55,69,No Nay Never,Terracotta,Fastnet Rock
AUS ,4,Bay , Gelding,PPG,"$815,000 ","$1,061,585 ",1-1-1-9,0,K W Lui,Mr & Mrs Ho Ying Cheung,54,52,Wandjina,Guelder,O'Reilly
NZ ,6,Bay , Gelding,PP,"$280,000 ","$862,455 ",0-1-3-21,1,D J Hall,Kathleen Shi Pui Ka,53,56,Makfi,Pineau,Carnegie
AUS ,5,Brown , Gelding,PP,"$112,500 ","$692,500 ",0-1-0-16,2,D J Whyte,Barry Lee Wing Tai,53,64,More Than Ready,Xandretta,Flying Spur
AUS ,3,Bay , Gelding,PPG,"$230,000 ","$230,000 ",0-0-2-3,1,F C Lor,"Yu Pang Chun, Chao Kee Tung & Christy Ng Ling Ling",53,52,Unencumbered,Recurring,Pentire
NZ ,3,Dark Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,R Gibson,Bruce Tsoi Mau Tang,52,52,Ocean Park,Mifflin,Street Cry
NZ ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,P O'Sullivan,DBS 78 Syndicate,52,52,Pins,Front Lady,Zabeel
AUS ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,F C Lor,Fok Yuk Tong,52,52,Oamaru Force,Curzon Dancer,Danehill Dancer
AUS ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,P F Yiu,"Mr & Mrs Tser Yiu Cho, Justin Tser Ka Ho and Johnson Tser Ka Yu",52,52,Shooting To Win,Exceed And Excite,Exceed And Excel
NZ ,6,Bay , Gelding,PP,"$590,000 ","$648,020 ",0-2-1-19,1,D A Hayes,Happy Uncles Syndicate,51,49,Power,Silvara,Danehill Dancer
AUS ,7,Chestnut , Gelding,PP,"$310,000 ","$5,036,575 ",4-3-8-49,2,W Y So,Master Syndicate,50,64,Magic Albert,Kate Of Clonmel,Bianconi
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-2,1,C H Yip,Roger Ngan,50,52,Charm Spirit,Amour Cache,Exceed And Excel
GB ,5,Bay , Gelding,PPG,"$745,000 ","$914,225 ",1-0-2-16,3,D J Hall,Mr & Mrs Chew Fook Aun and Alexander Chew Wei Khen,50,46,Harbour Watch,An Ghalanta,Holy Roman Emperor
NZ ,4,Bay , Gelding,PPG,$0 ,"$33,845 ",0-0-0-3,0,W Y So,Lindsay Racing Syndicate,49,49,Charm Spirit,Potions,Encosta de Lago
AUS ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-3,1,D A Hayes,Mr & Mrs Edward Chan Chi Keung and Matthew Chan Chin Wah,48,52,Deep Field,De Sea Eagle,Flying Spur
NZ ,4,Bay , Gelding,PPG,"$230,000 ","$230,000 ",0-0-2-4,2,K W Lui,Wong Wah Tung,48,52,Burgundy,Devil's Melody,High Chaparral
AUS ,4,Bay , Gelding,PPG,"$220,000 ","$220,000 ",0-1-0-5,2,P O'Sullivan,Benny Kwong Kai Sing,48,52,Holy Roman Emperor,Bella Laguna,Encosta de Lago
IRE ,4,Bay , Gelding,ISG,"$60,000 ","$60,000 ",0-0-0-5,1,C H Yip,Chan Kam Hung & Alan Chan Kin On,46,52,Holy Roman Emperor,Nictate,Teofilo
AUS ,4,Bay , Gelding,PPG,"$315,000 ","$619,605 ",0-2-0-9,1,F C Lor,Paul Cheng Wing Bor,46,44,Smart Missile,High Above,High Chaparral
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-3,1,A S Cruz,Ronald Cheung Joo Cheong,46,52,Love Conquers All,Lonyx,Lonhro
AUS ,3,Bay , Gelding,PPG,"$35,000 ","$35,000 ",0-0-0-5,1,Y S Tsui,Yau Kwok Fai,45,52,Pierro,Elite Circle,Encosta de Lago
IRE ,9,Bay , Gelding,PP,"$232,500 ","$5,971,530 ",6-2-6-67,1,D E Ferraris,Wong Chung Hin & Arnold Wong Chi Chiu,44,64,Monsieur Bond,Midnight Mystique,Noverre
IRE ,4,Bay , Gelding,ISG,$0 ,$0 ,0-0-0-4,1,C H Yip,Mr & Mrs Chan Kam Hung,43,52,Exceed And Excel,Royal Order,Medaglia d'Oro
AUS ,6,Chestnut , Gelding,PPG,"$280,000 ","$560,430 ",0-2-1-11,1,T P Yung,Mandy Ching Tsin Wai,42,42,Starspangledbanner,Gibraltar Range,Rock Of Gibraltar
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-5,0,A S Cruz,Multi-friendship Syndicate,41,52,Kaphero,Cousin Bonnie,Bon Hoffa
IRE ,6,Chestnut , Gelding,PP,"$592,500 ","$592,500 ",1-1-0-15,1,K L Man,Good Buddies Syndicate,39,45,Dragon Pulse,Salydora,Peintre Celebre
IRE ,6,Bay , Gelding,PP,$0 ,"$1,198,300 ",2-0-2-26,1,D E Ferraris,"William Tsang, Tony Tong Nai Kan, Yu Yin Wai & Shirley Tsang Huang Yang",37,46,Epaulette,Picture Of Lily,Medicean
AUS ,7,Chestnut , Gelding,PP,"$160,000 ","$3,811,450 ",3-6-3-50,1,C W Chang,DBS Goodban Syndicate,37,42,Hussonet,Grantsville,Trempolino
AUS ,5,Bay , Gelding,ISG,"$540,000 ","$844,605 ",1-1-1-17,1,Y S Tsui,Irene Chen & Johnson Chen,37,35,Choisir,Couredge,Show A Heart
AUS ,4,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-8,1,Y S Tsui,Danny Chan Kwan Mun,36,43,Better Than Ready,Belle Soleil,Redoute's Choice
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-8,0,L Ho,Michael C C Kao & Kao Chan Ming Man,33,44,Choisir,Apparel,Barathea
AUS ,6,Bay , Gelding,PP,"$1,012,500 ","$1,300,375 ",2-0-3-31,1,D A Hayes,Milk Tea Syndicate,33,25,Reward For Effort,Just Stunning,Snippets
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-7,0,Y S Tsui,Happy Punters Syndicate,31,36,Nicconi,Betchapass,War Pass
IRE ,3,Bay , Colt,PPG,$0 ,$0 ,0-0-0-0,0,D J Hall,"Sammy Ma Hon Kit, Ronald Ma Chun Ho, Morley Hui Chong Wai & Chan Sin Shui",,,Make Believe,Royal Alchemist,Kingsinger
AUS ,2,Bay , Colt,PPG,$0 ,$0 ,0-0-0-0,0,D A Hayes,Mr & Mrs Andy Pang Ka Wai,,,Astern,Delaluna,Strategic
NZ ,6,Bay , Gelding,PP,"$2,616,000 ","$8,209,000 ",4-5-2-25,1,T P Yung,Chen Hong Wei,100,94,Zacinto,Compact Pussycat,Al Akbar
AUS ,4,Black , Gelding,PP,$0 ,$0 ,0-0-0-0,0,D A Hayes,Cheung Yeuk Lee,82,82,Warhead,Commanding Queen,Commands
AUS ,6,Bay , Gelding,ISG,"$1,222,500 ","$3,647,430 ",3-3-3-21,1,D A Hayes,Cheung Yeuk Lee,74,71,Casino Prince,Private,Encosta de Lago
AUS ,7,Bay , Gelding,ISG,"$765,000 ","$5,480,000 ",4-6-3-37,2,K W Lui,"Choi Wong Ling Ling, Choi Kam Shan & Choi Yun Chor",74,77,Street Cry,Extension Of Time,Dash For Cash
NZ ,7,Bay , Gelding,PPG,"$1,762,500 ","$6,116,250 ",6-2-4-33,1,Y S Tsui,Claudia Sze Hill Tung,72,72,Zacinto,Volkara,Volksraad
NZ ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-1,0,D J Hall,The Association of I & C of North District Syndicate,72,72,Charm Spirit,Moorluv,Dubawi
AUS ,5,Brown , Gelding,PP,"$1,705,000 ","$2,111,000 ",2-1-1-19,2,C S Shum,"Mr & Mrs Irons Sze, Sherman Sze Yung Lok and Eric Sze Chung Lok",69,57,Your Song,Breezing Home,War Pass
NZ ,4,Bay , Gelding,PPG,"$1,345,000 ","$2,176,620 ",2-3-1-13,1,P F Yiu,Lyon Cheng Lai Fung,66,55,Pins,Miracle Miss,O'Reilly
AUS ,4,Chestnut , Gelding,PP,"$330,000 ","$330,000 ",0-1-0-6,2,D J Whyte,Yue Yun Hing & Anita Yue Lam Chik Sun,64,68,Written Tycoon,Neon Bel,Bel Esprit
IRE ,6,Chestnut , Gelding,ISG,"$952,500 ","$3,998,850 ",3-3-2-30,1,R Gibson,Edmond Yue Kwok Yin,62,58,Dutch Art,Girl Power,Key Of Luck
IRE ,5,Chestnut , Gelding,PP,"$393,750 ","$393,750 ",0-0-0-7,2,C W Chang,The HUW Syndicate,62,68,No Nay Never,Crosstalk,Cape Cross
AUS ,4,Bay , Gelding,PPG,"$790,000 ","$790,000 ",1-1-0-5,1,T P Yung,Cheng Ying Yim,61,52,The Factor,New Moves,Easy Rocking
AUS ,5,Bay , Gelding,PPG,"$220,000 ","$940,415 ",1-1-1-13,0,T P Yung,Chan Bun & Regina Pang Oi Fung,55,60,Stratum,Rock On Bye,Octagonal
NZ ,6,Bay , Gelding,PPG,"$1,962,500 ","$2,088,210 ",3-1-1-18,1,C Fownes,Lennon Chan Ling,55,37,O'Reilly,Mama's Choice,Redoute's Choice
AUS ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-6,1,T P Yung,Debonair Syndicate,54,68,Shamus Award,Yolane,Zizou
NZ ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-1,0,K H Ting,"Mr & Mrs Irons Sze, Sherman Sze Yung Lok and Eric Sze Chung Lok",52,52,Align,The Grey Storm,Red Ransom
NZ ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,P F Yiu,Jason Chan Kam Kwan,52,52,Sacred Falls,Marahau,Pins
AUS ,3,Brown , Gelding,PPG,"$35,000 ","$35,000 ",0-0-0-2,0,D J Whyte,Kenneth Tang,50,52,Street Boss,Badabing Badaboom,Encosta de Lago
IRE ,5,Chestnut , Gelding,ISG,"$901,250 ","$1,075,310 ",0-3-1-19,2,D J Whyte,Vivian Tang,43,43,Footstepsinthesand,Mimisel,Selkirk
IRE ,5,Bay , Gelding,PP,"$618,750 ","$618,750 ",1-1-0-14,1,A S Cruz,Rocky Chen Sze Lok,43,46,War Command,Mackenzie's Friend,Selkirk
AUS ,5,Bay , Gelding,ISG,"$617,500 ","$864,085 ",1-1-0-18,2,J Size,Mr & Mrs Tony Tang Wai Bun and Mr & Mrs Kenneth Tang,39,48,Exceed And Excel,So Tempted,Jeune
AUS ,9,Brown , Gelding,PP,"$585,000 ","$4,749,168 ",3-6-8-60,1,D E Ferraris,Chow Chu May Ping,31,34,Nadeem,Princess Laya,Encosta de Lago
NZ ,2,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,Y S Tsui,New Asia Alumni Syndicate,,,Belardo,Luroel,Per Incanto
IRE ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,D J Whyte,Lam Ka Lai & Yeung Wing Shut,83,83,Galileo,Kheleyf's Silver,Kheleyf
NZ ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,K H Ting,Yee Shun Hung,72,72,Charm Spirit,Clerihew,Lomitas
IRE ,3,Bay , Colt,PP,$0 ,$0 ,0-0-0-0,0,Y S Tsui,"Alex Fung Wai Kai, Dannis Lee Jor Hung & Sham Ka Hung",69,69,Holy Roman Emperor,Alleviate,Indian Ridge
JPN ,5,Dark Bay , Gelding,PP,$0 ,$0 ,0-0-0-8,1,K W Lui,Katherine Yeung Kit Yi,52,74,Bamboo Ere,Black Cashmere,Bubble Gum Fellow
NZ ,3,Brown , Gelding,PPG,"$70,000 ","$70,000 ",0-0-0-4,1,F C Lor,Abacus Syndicate,52,52,Per Incanto,Centree,Centaine
GB ,6,Chestnut , Gelding,PP,"$525,000 ","$2,139,300 ",1-3-1-27,2,C S Shum,HK Horseowners Syndicate,50,61,Farhh,Manila Bay,Halling
AUS ,5,Chestnut , Gelding,PP,"$95,000 ","$95,000 ",0-0-0-12,1,Y S Tsui,Pui Kwan Kay,48,64,More Than Ready,Gamble Me,Rock Of Gibraltar
AUS ,3,Bay , Gelding,PPG,"$60,000 ","$60,000 ",0-0-0-4,3,P F Yiu,Lau Hing Fai,46,52,Dundeel,The Golden Dane,Danehill
AUS ,5,Bay , Gelding,PPG,"$662,500 ","$1,477,055 ",2-0-4-20,1,D J Hall,Bonnie Chan Yiting,46,41,Reward For Effort,Underfoot,Switch In Time
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-6,1,W Y So,"Irene Leung Suk Yin, Gary Lau Sun Tao & Ronald Lau Sun Ting",44,52,Smart Missile,Clean Sweep,End Sweep
NZ ,5,Bay , Gelding,PPG,$0 ,"$111,205 ",0-0-1-5,2,C H Yip,Yau Chi Kin,43,51,Niagara,Vuela,Anabaa
IRE ,4,Bay , Gelding,PPG,"$60,000 ","$60,000 ",0-0-0-6,2,D J Whyte,Great Fund Syndicate,40,52,Kodiac,Society Pearl,Kheleyf
AUS ,5,Bay , Gelding,PPG,"$375,000 ","$375,000 ",0-1-0-10,0,C H Yip,Wu Kai Char,38,46,Rocker,Whiner,Street Cry
NZ ,5,Bay , Gelding,PPG,"$382,500 ","$382,500 ",0-1-2-18,2,P O'Sullivan,Kong Wing Ming & Edmond Kong Chun Man,24,30,Tavistock,Leesing,Pins
CHI ,4,Bay , Colt,PP,"$4,863,000 ","$4,863,000 ",1-0-1-5,1,A T Millard,Yue Yun Hing,100,85,Lookin At Lucky,Esterina II,Orpen
IRE ,5,Bay , Gelding,PP,"$660,000 ","$9,179,000 ",1-1-0-15,1,C S Shum,Huang Kai Wen,98,110,Elzaam,Playamongthestars,Galileo
IRE ,6,Bay , Gelding,PP,"$616,000 ","$6,147,750 ",4-3-0-28,2,P F Yiu,David Sin Wai Kin,95,104,Iffraaj,Riyaba,Dalakhani
AUS ,4,Bay , Gelding,PPG,"$5,321,500 ","$7,298,670 ",6-3-1-16,1,J Size,Zeng Jiaxin,94,69,Red Dazzler,Mountain Bluebird,Beautiful Crown
GB ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-1,0,D A Hayes,Martin Siu Kim Sun,89,89,Casamento,Magika,Dubawi
GB ,5,Bay , Gelding,PP,$0 ,"$2,197,000 ",1-0-0-7,0,A S Cruz,Siu Pak Kwan,86,86,Kingman,Intrigued,Darshaan
FR ,4,Bay , Gelding,PP,"$638,000 ","$638,000 ",0-1-0-7,1,A S Cruz,Edmond Lee Man Bun,85,84,Wootton Bassett,Baki,Turtle Bowl
IRE ,5,Bay , Gelding,PP,"$1,357,500 ","$3,910,650 ",3-2-3-22,1,D J Whyte,Marces Lee Tze Bun,81,73,Dark Angel,Love In The Desert,Lemon Drop Kid
AUS ,4,Chestnut , Gelding,PP,$0 ,$0 ,0-0-0-0,0,F C Lor,Jolly Family Syndicate,80,80,Sebring,Zulia,Hussonet
AUS ,6,Bay , Gelding,PP,"$330,000 ","$2,669,350 ",2-2-1-20,0,C Fownes,"Mr & Mrs Ringo Ng Yiu Kwok, Quentin Ng Kwan Wai and Jasmine Ng Kwan Yin",75,73,Snitzel,Crevice,Gulch
AUS ,4,Brown , Gelding,PP,"$1,012,500 ","$1,012,500 ",0-2-1-8,2,C Fownes,Mr & Mrs Ringo Ng Yiu Kwok,75,72,Unencumbered,Half A Minute,Half Hennessy
AUS ,3,Chestnut , Gelding,PP,$0 ,$0 ,0-0-0-2,0,C Fownes,Eddie Wong Ming Chak,75,77,Ilovethiscity,Sunstyle,Xaar
SAF ,4,Bay , Colt,PP,$0 ,$0 ,0-0-0-3,1,A T Millard,Jeanne Ng Mien Yi,74,78,Flower Alley,Square Dance,Oasis Dream
GB ,3,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,J Size,Mr & Mrs Simon Ng Kar Ming,70,70,Equiano,Terse,Dansili
IRE ,5,Brown , Gelding,PP,"$423,750 ","$1,250,250 ",1-1-1-12,0,P F Yiu,Bunny Chan Chung Bun,70,74,Tamayuz,Soviet Treat,Ashkalani
AUS ,4,Chestnut , Gelding,PP,$0 ,$0 ,0-0-0-0,0,T P Yung,Friends of MFS Syndicate,69,69,Stratum,Villa de Madrid,Mossman
AUS ,3,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,C S Shum,Marina Lee Man Wai,68,68,Press Statement,Gipsy Countess,Sadler's Wells
NZ ,5,Bay , Gelding,PP,"$330,000 ","$330,000 ",0-1-0-8,2,P F Yiu,Sayyid Syndicate,68,75,Makfi,Khagan,Viking Ruler
NZ ,3,Chestnut , Gelding,PP,$0 ,$0 ,0-0-0-0,0,C Fownes,Mr & Mrs Vincent To Wai Keung and To Ronald Yiu Ting,68,68,Reliable Man,Chuckle,Danehill
AUS ,5,Grey , Gelding,PP,"$52,500 ","$1,517,000 ",1-2-0-14,0,J Size,Zeng Shengli,67,71,The Factor,De Lago Flash,Encosta de Lago
IRE ,6,Bay , Gelding,PP,"$937,500 ","$3,579,950 ",2-4-2-24,2,J Size,Zeng Jiaxin,67,73,Oasis Dream,Astronomy Domine,Galileo
NZ ,6,Bay , Gelding,PPG,"$502,500 ","$2,486,860 ",3-1-2-21,2,K H Ting,"Sherman Ting Wing Cheung, David Ting Chi Ho, Joyce Ting Tung Sum & Tina Ting Tung Yan",66,62,Darci Brahma,Minori Express,Green Line Express
AUS ,6,Chestnut , Gelding,ISG,"$1,470,000 ","$4,482,900 ",5-2-2-21,2,W Y So,Kerm Din & Kareem Din,65,62,Not A Single Doubt,Heaven Beneath,More Than Ready
AUS ,6,Bay , Gelding,PPG,"$990,000 ","$2,067,290 ",2-3-0-13,0,A T Millard,Jacky Chan Wing Fai,65,60,I Am Invincible,Rivers Secret,Flying Spur
IRE ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-3,2,C H Yip,"Wilson Chan Wai Kwok, Taylor Sung Yiu Wai, Charles K Kao & Cindy Wan Hung Ha",64,68,Raven's Pass,Fashion Statement,Rainbow Quest
AUS ,3,Bay , Gelding,PPG,"$1,140,000 ","$1,140,000 ",2-0-0-3,1,P F Yiu,Ho Kwok Wing,64,52,Redoute's Choice,Via Africa,Var
AUS ,5,Bay , Gelding,ISG,"$2,037,500 ","$3,744,255 ",3-5-4-22,2,A S Cruz,Tang Tou Syndicate,63,60,Snitzel,Scarlett Lady,Savabeel
FR ,5,Bay , Gelding,PP,"$52,500 ","$52,500 ",0-0-0-6,3,C S Shum,Huang Junming,61,68,Planteur,Pianiste,Anabaa
AUS ,5,Bay , Gelding,PPG,"$382,500 ","$2,067,370 ",2-3-0-14,1,R Gibson,Peter Lee Kwok Wah,59,67,Redoute's Choice,Shihabi,Pins
AUS ,4,Brown , Gelding,PP,"$285,000 ","$285,000 ",0-0-1-10,2,C Fownes,Boniface Ho Ka Kui & Steve Ho,58,65,Written Tycoon,Splendid Thing,Encosta de Lago
AUS ,4,Bay , Gelding,PPG,"$1,265,000 ","$1,265,000 ",1-3-0-8,2,Y S Tsui,Daniel Kwan,57,52,Wandjina,Cupid Shuffle,More Than Ready
AUS ,5,Chestnut , Gelding,PP,"$35,000 ","$85,750 ",0-0-0-11,1,D A Hayes,"Simon Yung Yun Sang, Sam Chau Chiu Yin, Tang Ka Nin & Elton Cheung Kwok Wai",57,71,Akeed Mofeed,Pandoro de Lago,Encosta de Lago
NZ ,7,Brown , Gelding,PP,"$1,195,000 ","$3,232,195 ",2-6-5-42,1,C H Yip,Friends of Sea Biscuit Syndicate,55,48,Alamosa,Grey Swan,Daylami
NZ ,6,Bay , Gelding,PP,"$387,500 ","$2,348,250 ",2-2-3-27,0,T P Yung,Dr Kelvin Chong Man Yuk,55,62,Power,Wanaka,Green Perfume
AUS ,3,Bay , Gelding,PPG,"$640,000 ","$640,000 ",0-1-2-7,2,F C Lor,Anderson Wong Ka Lung,54,52,More Than Ready,Mineko,Fastnet Rock
AUS ,3,Brown , Gelding,PPG,"$220,000 ","$220,000 ",0-1-0-1,1,D A Hayes,Edmond Lee Man Bun,53,52,Shamus Award,Exchanges,Domesday
NZ ,3,Dark Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,C S Shum,Lee Man Yan,52,52,More Than Ready,Joy Of Life,Zabeel
NZ ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,C S Shum,Raymond Lee Man Chun,52,52,Reliable Man,Espresso Cavallo,Lonhro
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,J Size,"Kenneth Lam Sze Ken, Timothy Junior Lam & Terry Fok Kwong Hang",52,52,Choisir,Malpara,Snitzel
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,K W Lui,Courageous Syndicate,52,52,Contributer,Bonnie Tyler,Darci Brahma
NZ ,5,Bay , Gelding,PP,$0 ,$0 ,0-0-0-8,1,A S Cruz,Harry Tsang Cheung Hin,52,68,Tavistock,Miss Danni,Keeper
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,C W Chang,Alan Cheng Kin Sang,52,52,Sebring,Zestily,Snitzel
IRE ,4,Bay , Gelding,ISG,$0 ,$0 ,0-0-0-0,0,C S Shum,Mr & Mrs William Yem Wai Lai,52,52,Slade Power,Emperors Pearl,Holy Roman Emperor
AUS ,3,Grey , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,D J Hall,Merry Gang Syndicate,52,52,Reward For Effort,Kritisk,Snippetson
SAF ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-1,1,A T Millard,Dr Bosco Chan & Dr Patricia Ellen Choi,52,52,Silvano,Woodland Gem,Fort Wood
SAF ,5,Brown , Gelding,PP,$0 ,$0 ,0-0-0-10,2,D E Ferraris,George Hing Chang,52,79,Querari,La Garita,Lateral
AUS ,4,Bay , Gelding,PPG,"$220,000 ","$220,000 ",0-1-0-4,0,C H Yip,Damian Yap Chun Wing,50,52,Rubick,Maevemoo,Danehill Dancer
NZ ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-3,0,L Ho,Exciting Racing Syndicate,48,52,Darci Brahma,Trouville,Hurricane Sky
AUS ,4,Bay , Gelding,PPG,"$335,000 ","$639,605 ",0-2-1-12,1,D J Whyte,Richard Wong Chung Tak,48,52,Deep Field,Queen Of Quilts,Viscount
NZ ,5,Brown , Gelding,PPG,"$1,470,000 ","$1,619,885 ",2-2-1-17,2,D J Hall,Stacey Martin Wong,47,31,Burgundy,Aventura,Rock Of Gibraltar
NZ ,6,Bay , Gelding,PPG,"$220,000 ","$1,565,380 ",1-4-0-25,0,C H Yip,Chan Ming Wing,46,56,Rip Van Winkle,One Nite Stand,Cullen
NZ ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-4,1,K H Ting,Michelle Chan Kam Ha,44,52,Power,Mumtaz,Cape Cross
IRE ,7,Chestnut , Gelding,PP,"$812,500 ","$3,197,285 ",4-2-2-51,3,C Fownes,"Mr & Mrs Ringo Ng Yiu Kwok, Jasmine Ng Kwan Yin and Harry Ng Kwan Hang",43,51,Born To Sea,Centreofattention,Danehill
IRE ,4,Grey , Gelding,ISG,$0 ,$0 ,0-0-0-5,0,W Y So,Kerm Din,42,52,Kodiac,Coolnagree,Dark Angel
AUS ,6,Bay , Gelding,PPG,$0 ,"$1,997,425 ",2-2-2-27,0,L Ho,Mr & Mrs Raymund Chao Pak Ki,41,44,Fastnet Rock,Everswindell,Align
AUS ,5,Bay , Gelding,PPG,"$900,000 ","$1,112,740 ",2-1-0-16,1,C S Shum,Mr & Mrs Cheung Yat Yuen,36,41,Dundeel,Exotic Escape,Commands
NZ ,4,Grey , Gelding,PPG,$0 ,$0 ,0-0-0-6,1,T P Yung,Mr & Mrs Allan Chau Kit Ho and Mr & Mrs Chau Man Kwok,35,52,Reliable Man,Postmans Daughter,Postponed
AUS ,5,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-8,1,Y S Tsui,"Eddie Law Kar Chung, Ada Ng Wai Hing & Amanda Law Yah Man",31,39,Rothesay,Tarmons,Dodge
GB ,8,Bay , Gelding,PP,"$408,750 ","$2,189,375 ",3-1-3-51,1,L Ho,Francis Wong Shing Yick & Raymond Wong Kai Yuen,19,24,Acclamation,Claiomh Solais,Galileo
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,K W Lui,Wai Siu Kee,,,Pierro,Waikaha,Towkay
NZ ,2,Dark Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,Y S Tsui,Ngai Chun Hung,,,Sacred Falls,Savabeel Star,Savabeel
AUS ,5,Bay , Gelding,PPG,$0 ,"$4,629,525 ",4-5-4-22,0,D J Hall,Wong Wai Kan & Dr William Wong Tsing Wai,79,80,Zoustar,Jessica Rose,Keep The Faith
AUS ,4,Bay , Gelding,PPG,"$120,000 ","$178,020 ",0-0-0-8,0,D J Hall,Liu Sing Cheong & Eric Liu Kar Hang,39,42,Reward For Effort,Sylkat Eclipse,Dehere
NZ ,7,Brown , Gelding,PPG,"$3,340,000 ","$20,916,800 ",7-7-4-34,0,R Gibson,Wong Ting Bor,114,114,Savabeel,Grand Princess,Last Tycoon
NZ ,5,Bay , Gelding,PP,"$2,640,000 ","$8,745,600 ",4-1-0-10,1,C S Shum,Wong Shun Yuen,112,109,Pins,Sparkling,O'Reilly
