origin,age,colour,sex,import_type,season_stakes,total_stakes,no_of_123_starts,no_of_starts_in_past_races,trainer,owner,current_rating,start_of_season_rating,sire,dam,dam_sire
AUS ,5,Bay , Horse,PPG,"$3,037,500 ","$4,482,840 ",5-2-0-17,1,T P Yung,Ip Chi Ming,80,65,Snitzel,Make Me Dream,Sadler's Wells
NZ ,6,Bay , Gelding,PPG,"$172,500 ","$5,537,700 ",5-2-3-29,1,F C Lor,Mr & Mrs Jimmy Leung Kwok Wai and Mr & Mrs Thomas Leung Wai Kin,78,87,Ocean Park,Hope So,Fast 'N' Famous
NZ ,4,Chestnut , Gelding,PPG,"$1,815,000 ","$2,748,155 ",3-2-1-11,1,F C Lor,Righteousness Syndicate,76,60,Per Incanto,Virginia Key,Mark Of Esteem
IRE ,4,Brown , Gelding,PP,"$2,122,500 ","$2,296,500 ",1-2-3-16,2,K W Lui,Barrier Free Syndicate,74,64,No Nay Never,Dacio,Harlan's Holiday
IRE ,5,Grey , Gelding,PP,"$579,500 ","$579,500 ",0-1-1-14,1,C W Chang,Emily Wong Man Yan & Wong Ying Sheung,70,83,Havana Gold,Zindana,Dalakhani
AUS ,3,Bay , Gelding,PP,"$322,500 ","$322,500 ",0-0-0-6,2,D A Hayes,Chow Yun Sheung,69,77,Unencumbered,Snipzu,Snippetson
AUS ,6,Bay , Gelding,PP,"$952,500 ","$2,832,750 ",3-1-1-26,2,C H Yip,"Anthony Chan Wai Choi, David Chan Ping Che & Wong Tsz Wa",67,60,Reward For Effort,Disturbingthepeace,High Chaparral
IRE ,5,Bay , Gelding,ISG,"$1,305,000 ","$2,806,140 ",2-2-5-19,1,A S Cruz,Leung Shek Kong,67,63,Holy Roman Emperor,Musical Rain,Val Royal
AUS ,4,Bay , Gelding,PP,"$142,500 ","$142,500 ",0-0-0-4,0,D A Hayes,Dr & Mrs Gene Tsoi Wai Wang,65,68,Animal Kingdom,Dual Star,Starcraft
NZ ,3,Bay , Gelding,PPG,"$900,000 ","$900,000 ",1-1-0-2,1,C Fownes,Mr & Mrs Leung Sze Tien,63,52,Savabeel,Chilled Out,Anabaa
NZ ,4,Brown , Gelding,PPG,"$1,142,500 ","$2,000,728 ",1-2-6-19,1,K L Man,Peter Chu Ka Lok,53,47,Savabeel,Miss Montjeu,Montjeu
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,W Y So,"Sherman Leung Sheung Man, Jack Chan Hoi, Thomas Kong Tai Chuen & Alex Chau Man Lok",52,52,Written Tycoon,Back Red 'N' Black,Tiger Hill
AUS ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,D A Hayes,Lo Yu Sai,52,52,Rubick,Search The Stars,Tale Of The Cat
AUS ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,K H Ting,Kowloon East Syndicate,52,52,Zoustar,Cardinal Court,Valixir
GB ,7,Bay , Gelding,PP,"$1,217,500 ","$1,217,500 ",2-0-1-19,1,P O'Sullivan,Winning Group Syndicate,51,48,Royal Applause,Hypoteneuse,Sadler's Wells
AUS ,4,Chestnut , Gelding,PP,$0 ,$0 ,0-0-0-8,0,L Ho,Wong Siu Wah,48,64,More Than Ready,Extension Of Time,Dash For Cash
AUS ,5,Brown , Gelding,PPG,"$35,000 ","$831,130 ",1-1-0-15,1,P F Yiu,Nelson Lee Yuk Ming & Norman Ng Si Pang,46,52,Denman,Alluring Belle,Encosta de Lago
NZ ,5,Brown , Gelding,PPG,"$165,000 ","$165,000 ",0-1-0-8,2,D J Hall,Brandy Chan Wai Ka,40,40,Shocking,Pristino,More Than Ready
IRE ,5,Brown , Gelding,ISG,"$330,000 ","$513,730 ",0-2-0-14,0,P O'Sullivan,John Lee Yau Wai,37,38,Farhh,Catchline,Bertolini
USA ,5,Chestnut , Gelding,ISG,$0 ,"$752,750 ",1-1-0-16,1,D J Whyte,David Law,36,42,Scat Daddy,Oxbow Lake,Dynaformer
AUS ,5,Brown , Gelding,PPG,"$90,000 ","$841,200 ",0-2-4-23,1,K H Ting,Kwai Chung Brothers Syndicate,27,30,Poet's Voice,Mighty Lion,Lion Heart
AUS ,6,Bay , Gelding,PPG,"$86,250 ","$1,210,650 ",1-3-1-28,1,T P Yung,Leung Shek Kong,24,36,Canford Cliffs,Prayers'N'Promises,Encosta de Lago
IRE ,7,Bay , Gelding,PP,"$26,250 ","$1,282,175 ",2-2-1-35,0,C W Chang,Mr & Mrs George Chang,16,26,Henrythenavigator,Silver Star,Zafonic
JPN ,7,Dark Bay , Horse,VIS,$0 ,$0 ,0-0-0-1,0,Y Tsujino,Tatsue Ishikawa,,,Rulership,Blitz Finale,Deep Impact
AUS ,4,Bay , Gelding,PP,"$6,676,000 ","$7,159,000 ",1-3-3-11,1,J Size,Larry Yung Chi Kin,97,83,Toronado,Il Diamante,Testa Rossa
NZ ,4,Bay , Gelding,PP,"$3,339,500 ","$3,339,500 ",2-1-2-7,1,K W Lui,Patch Syndicate,96,69,El Roca,Gould,Danehill Dancer
AUS ,6,Brown , Gelding,PPG,"$132,000 ","$5,674,700 ",6-1-1-17,1,D J Whyte,Chiang Ping Fai,86,91,Master Of Design,Rose Syrah,Testa Rossa
AUS ,4,Bay , Gelding,PPG,$0 ,"$2,518,430 ",3-1-0-8,0,C S Shum,Victor Cheng Hok Hung,86,86,More Than Ready,You Da One,Fastnet Rock
SAF ,6,Bay , Gelding,PP,"$1,039,500 ","$2,823,000 ",1-3-3-22,0,P O'Sullivan,Fidelity Racing Syndicate,84,79,Trippi,Gone Wild,Western Winter
GB ,7,Grey , Gelding,PP,"$1,768,000 ","$3,584,250 ",1-5-4-28,2,C S Shum,Henry Cheng Kar Shun,82,74,Exceed And Excel,Clinical,Motivator
IRE ,6,Bay , Gelding,PP,"$1,447,500 ","$4,706,700 ",1-9-1-27,1,R Gibson,Robert Ng Chee Siong,80,80,Acclamation,Elektra Marino,Mount Nelson
